编号,机体名称,属性地址,类型,技能,小图标地址,机动,速度,强度,防卫,金钱,HP1,HP2,经验,,速度成长,强度成长,防卫成长,HP成长,HP,图标,编号,机体名称,武器地址,武器1,武器2,武器名1,武器名2
1,盖塔 ,A1EA,8,0,16,0,0,0,0,30,0,0,0,0,0,0,0,0,0,4,1,盖塔 ,AF9F,0,0,NaN,NaN
2,盖塔1 ,A1FA,24,0,16,7,55,90,55,30,54,1,100,0,1,7,1,3,310,4,2,盖塔1 ,AFA1,24,26,盖塔战斧1,盖塔射线1
3,盖塔2 ,A20A,41,0,20,8,73,85,55,30,54,1,100,0,1,7,1,3,310,5,3,盖塔2 ,AFA3,29,31,回旋钻1,神风钻1
4,盖塔3 ,A21A,58,0,24,8,48,95,60,30,54,1,100,0,1,7,1,3,310,6,4,盖塔3 ,AFA5,33,35,冷冻液1,盖塔导弹1
5,盖塔 ,A1EA,8,0,16,0,0,0,0,30,0,0,0,0,0,0,0,0,0,4,5,盖塔 ,AFA7,0,0,NaN,NaN
6,盖塔1 ,A1FA,24,0,16,7,55,90,55,30,54,1,100,0,1,7,1,3,310,4,6,盖塔1 ,AFA9,25,27,盖塔战斧2,盖塔射线2
7,盖塔2 ,A20A,41,0,20,8,73,85,55,30,54,1,100,0,1,7,1,3,310,5,7,盖塔2 ,AFAB,30,32,回旋钻2,神风钻2
8,盖塔3 ,A21A,58,0,24,8,48,95,60,30,54,1,100,0,1,7,1,3,310,6,8,盖塔3 ,AFAD,34,36,冷冻液2,盖塔导弹2
9,刚达 ,A22A,5,0,88,4,40,105,75,50,48,2,30,0,0,1,0,3,560,22,9,刚达 ,AFAF,131,0,三栖导弹2,NaN
10,刚达（MA） ,A23A,20,0,88,5,40,105,75,50,48,2,30,0,0,1,0,3,560,22,10,刚达（MA） ,AFB1,131,140,三栖导弹2,激光剑1
11,刚达Ⅱ ,A24A,5,0,0,4,40,120,75,100,188,2,40,0,0,1,0,3,700,0,11,刚达Ⅱ ,AFB3,132,142,三栖导弹3,激光剑3
12,刚达Ⅱ（MA） ,A25A,20,0,0,5,40,120,75,100,188,2,40,0,0,1,0,3,700,0,12,刚达Ⅱ（MA） ,AFB5,132,142,三栖导弹3,激光剑3
13,西马（MA） ,A26A,20,0,160,8,75,60,40,10,44,1,20,0,0,0,0,3,300,40,13,西马（MA） ,AFB7,7,0,光束枪2级,NaN
14,西马 ,A27A,5,0,160,5,75,68,35,10,44,1,20,0,0,0,0,3,300,40,14,西马 ,AFB9,7,1,光束枪2级,光剑1级
15,刚克 ,A28A,5,0,132,5,68,78,40,10,168,2,25,0,0,1,0,3,680,33,15,刚克 ,AFBB,130,0,三栖导弹1,NaN
16,刚克 ,A28A,5,0,132,5,68,78,40,10,168,2,25,0,0,1,0,3,680,33,16,刚克 ,AFBD,130,7,三栖导弹1,光束枪2级
17,卡扎C ,A29A,1,0,144,5,65,60,35,10,210,0,18,0,0,0,0,2,210,36,17,卡扎C ,AFBF,2,7,光剑2级,光束枪2级
18,卡扎C ,A29A,1,0,144,5,65,60,35,10,210,0,18,0,0,0,0,2,210,36,18,卡扎C ,AFC1,2,7,光剑2级,光束枪2级
19,麦萨拉（MA） ,A2AA,20,0,144,10,68,80,55,10,182,3,30,0,0,0,0,3,950,36,19,麦萨拉（MA） ,AFC3,115,0,子母弹1,NaN
20,麦萨拉 ,A2BA,5,0,144,5,60,88,48,10,182,3,30,0,0,0,0,3,950,36,20,麦萨拉 ,AFC5,115,5,子母弹1,光剑5级
21,拉比 ,A2CA,1,0,160,6,78,62,38,10,240,0,20,0,1,0,0,2,240,40,21,拉比 ,AFC7,3,0,光剑3级,NaN
22,拉比 ,A2CA,1,0,160,6,78,62,38,10,240,0,20,0,1,0,0,2,240,40,22,拉比 ,AFC9,3,8,光剑3级,光束枪3级
23,巴斯塔 ,A2DA,5,0,80,8,65,72,40,80,29,1,100,0,1,1,1,2,285,20,23,巴斯塔 ,AFCB,65,66,组合刀1,脉冲波
24,巴得 ,A2EA,20,0,80,10,65,72,35,80,29,1,100,0,1,1,1,2,285,20,24,巴得 ,AFCD,66,0,脉冲波,NaN
25,巴斯塔 ,A2DA,5,0,80,8,65,72,40,80,29,1,100,0,1,1,1,2,285,20,25,巴斯塔 ,AFCF,67,66,组合刀2,脉冲波
26,巴得 ,A2EA,20,0,80,10,65,72,35,80,29,1,100,0,1,1,1,2,285,20,26,巴得 ,AFD1,66,0,脉冲波,NaN
27,巴斯塔 ,A2DA,5,0,80,8,65,72,40,80,29,1,100,0,1,1,1,2,285,20,27,巴斯塔 ,AFD3,69,66,锯齿刀,脉冲波
28,巴得 ,A2EA,20,0,80,10,65,72,35,80,29,1,100,0,1,1,1,2,285,20,28,巴得 ,AFD5,66,0,脉冲波,NaN
29,金Z ,A2FA,1,0,8,5,45,85,70,30,104,1,100,0,1,1,7,3,360,2,29,金Z ,AFD7,14,15,穿甲弹1,光子射线
30,金Z ,A2FA,1,0,8,5,45,85,70,30,104,1,100,0,1,1,7,3,360,2,30,金Z ,AFD9,16,17,机械刀,火焰喷射器
31,金 ,A30A,0,0,12,7,50,105,85,80,194,1,100,0,1,1,7,3,450,3,31,金 ,AFDB,18,19,中子刀,原子钻
32,金 ,A30A,0,0,12,7,50,105,85,80,194,1,100,0,1,1,7,3,450,3,32,金 ,AFDD,20,21,闪电,光回旋镖
33,金 ,A30A,0,0,12,7,50,105,85,80,194,1,100,0,1,1,7,3,450,3,33,金 ,AFDF,22,23,质子炮,压力钻
34,阿波罗A ,A31A,1,0,40,5,50,68,55,10,24,1,100,0,0,0,0,2,280,10,34,阿波罗A ,AFE1,93,164,导弹,恢复HP
